payment_id,recipient_name,recipient_iban,amount,currency,payment_reference
100291,Recipient 100291,DE00000000000000100291,322.98,EUR,Invoice 100291
100607,Recipient 100607,DE00000000000000100607,832.19,USD,Invoice 100607
100267,Recipient 100267,DE00000000000000100267,564.40,EUR,Invoice 100267
100926,Recipient 100926,DE00000000000000100926,47138.19,USD,Invoice 100926
100163,Recipient 100163,DE00000000000000100163,925.83,EUR,Invoice 100163
100595,Recipient 100595,DE00000000000000100595,497.88,USD,Invoice 100595
100647,Recipient 100647,DE00000000000000100647,558.40,USD,Invoice 100647
100115,Recipient 100115,DE00000000000000100115,51.09,USD,Invoice 100115
100589,Recipient 100589,DE00000000000000100589,46.37,USD,Invoice 100589
100132,Recipient 100132,DE00000000000000100132,933.32,EUR,Invoice 100132
100159,Recipient 100159,DE00000000000000100159,899.02,EUR,Invoice 100159
100104,Recipient 100104,DE00000000000000100104,969.02,EUR,Invoice 100104
100286,Recipient 100286,DE00000000000000100286,635.94,USD,Invoice 100286
100625,Recipient 100625,DE00000000000000100625,469.45,USD,Invoice 100625
100243,Recipient 100243,DE00000000000000100243,853.59,USD,Invoice 100243
100516,Recipient 100516,DE00000000000000100516,788.85,EUR,Invoice 100516
100502,Recipient 100502,DE00000000000000100502,950.60,USD,Invoice 100502
100097,Recipient 100097,DE00000000000000100097,800.78,EUR,Invoice 100097
100476,Recipient 100476,DE00000000000000100476,962.92,EUR,Invoice 100476
100699,Recipient 100699,DE00000000000000100699,449.15,EUR,Invoice 100699
100261,Recipient 100261,DE00000000000000100261,225.00,EUR,Invoice 100261
100590,Recipient 100590,DE00000000000000100590,984.45,EUR,Invoice 100590
100468,Recipient 100468,DE00000000000000100468,747.73,EUR,Invoice 100468
100358,Recipient 100358,DE00000000000000100358,688.98,USD,Invoice 100358
100592,Recipient 100592,DE00000000000000100592,945.37,EUR,Invoice 100592
100021,Recipient 100021,DE00000000000000100021,829.57,USD,Invoice 100021
100183,Recipient 100183,DE00000000000000100183,346.34,USD,Invoice 100183
100452,Recipient 100452,DE00000000000000100452,107.55,USD,Invoice 100452
100979,Recipient 100979,,776.45,EUR,Missing iban 100979
100103,Recipient 100103,DE00000000000000100103,51.54,EUR,Invoice 100103
100894,Recipient 100894,DE00000000000000100894,32419.50,USD,Invoice 100894
100470,Recipient 100470,DE00000000000000100470,531.32,USD,Invoice 100470
100107,Recipient 100107,DE00000000000000100107,902.53,EUR,Invoice 100107
100616,Recipient 100616,DE00000000000000100616,351.75,EUR,Invoice 100616
100772,Recipient 100772,DE00000000000000100772,9967.28,USD,Invoice 100772
100187,Recipient 100187,DE00000000000000100187,2.69,EUR,Invoice 100187
100169,Recipient 100169,DE00000000000000100169,267.54,EUR,Invoice 100169
100587,Recipient 100587,DE00000000000000100587,283.96,USD,Invoice 100587
100880,Recipient 100880,DE00000000000000100880,8855.35,EUR,Invoice 100880
100995,Recipient 100995,DE00000000000000100995,1509.52,GBP,Invalid currency 100995
